chargeDescription,codeUcr,count,comb,category
USE/ETC EXPLOSIVE/ETC DEVICE WITH INTENT TO INJURE/ETC (F),4C0,7,USE/ETC EXPLOSIVE/ETC DEVICE WITH INTENT TO INJURE/ETC (F) - 4C0,1
VIOLATE CIVIL RIGHTS BY FORCE OR THREAT,4C0,2,VIOLATE CIVIL RIGHTS BY FORCE OR THREAT - 4C0,1
VIOLATE CIVIL RIGHTS W/INJURY OR PROPERTY DAMAGE > $500,4C0,2,VIOLATE CIVIL RIGHTS W/INJURY OR PROPERTY DAMAGE > $500 - 4C0,1
VIOLATE CIVIL RIGHTS: CAUSE SERIOUS INJURY (M),4C0,1,VIOLATE CIVIL RIGHTS: CAUSE SERIOUS INJURY (M) - 4C0,1
WILFUL POISONNING/ETC OF FOOD/ECT (F),4C0,3,WILFUL POISONNING/ETC OF FOOD/ECT (F) - 4C0,1
WILLFUL CRUELTY TO CHILD: WITH INJURY/DEATH (F),4C0,59,WILLFUL CRUELTY TO CHILD: WITH INJURY/DEATH (F) - 4C0,1
WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH,4C0,2,WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH - 4C0,1
ABUSE/CRUELTY TO ELDERLY/DEPENDENT ADULT,4D0,3,ABUSE/CRUELTY TO ELDERLY/DEPENDENT ADULT - 4D0,1
ADW NOT A FIREARM ON P.O./FIREFIGHTER:GBI LIKELY (F),4D0,3,ADW NOT A FIREARM ON P.O./FIREFIGHTER:GBI LIKELY (F) - 4D0,1
ADW WITH FORCE:POSSIBLE GBI,4D0,16,ADW WITH FORCE:POSSIBLE GBI - 4D0,1
ADW WITH FORCE:POSSIBLE GBI (F),4D0,608,ADW WITH FORCE:POSSIBLE GBI (F) - 4D0,1
ADW WITH FORCE:POSSIBLE GBI (M),4D0,137,ADW WITH FORCE:POSSIBLE GBI (M) - 4D0,1
AGGRAVATED MAYHEM (F),4D0,3,AGGRAVATED MAYHEM (F) - 4D0,1
ASSAULT W/DEADLY WEAPON OTHER THAN FIREARM OR GBI FORCE,4D0,16,ASSAULT W/DEADLY WEAPON OTHER THAN FIREARM OR GBI FORCE - 4D0,1
ASSAULT W/DEADLY WEAPON:NOT F/ARM (F),4D0,114,ASSAULT W/DEADLY WEAPON:NOT F/ARM (F) - 4D0,1
ASSAULT W/DEADLY WEAPON:NOT F/ARM (M),4D0,35,ASSAULT W/DEADLY WEAPON:NOT F/ARM (M) - 4D0,1
ASSAULT W/INTENT TO COMMIT FELONY (W/INJ OR WEAPON) (F),4D0,1,ASSAULT W/INTENT TO COMMIT FELONY (W/INJ OR WEAPON) (F) - 4D0,1
ATTEMPT TO REMOVE/ETC FIREARM FROM PEACE OFFICER/ETC (F),4D0,1,ATTEMPT TO REMOVE/ETC FIREARM FROM PEACE OFFICER/ETC (F) - 4D0,1
ATTEMPTED MURDER (F),4D0,11,ATTEMPTED MURDER (F) - 4D0,1
ATTEMPTED MURDER/DEGREE UNSPECIFIED,4D0,2,ATTEMPTED MURDER/DEGREE UNSPECIFIED - 4D0,1
BATTERY AGAINST EMERGENCY PERSON SERIOUS INJURY (F),4D0,3,BATTERY AGAINST EMERGENCY PERSON SERIOUS INJURY (F) - 4D0,1
BATTERY AGAINST POLICE OFFICER WITH SERIOUS INJURY (F),4D0,1,BATTERY AGAINST POLICE OFFICER WITH SERIOUS INJURY (F) - 4D0,1
BATTERY ON ELDER OR DEPENDENT ADULT WITH SERIOUS INJURY (M),4D0,4,BATTERY ON ELDER OR DEPENDENT ADULT WITH SERIOUS INJURY (M) - 4D0,1
BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC W/INJURY,4D0,14,BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC W/INJURY - 4D0,1
BATTERY ON PERSON,4D0,19,BATTERY ON PERSON - 4D0,1
BATTERY ON PERSON (M),4D0,13,BATTERY ON PERSON (M) - 4D0,1
BATTERY ON PERSON ON SCHOOL/HOSPITAL/PARK PROPERTY,4D0,2,BATTERY ON PERSON ON SCHOOL/HOSPITAL/PARK PROPERTY - 4D0,1
BATTERY W/INJURY ON TRANSPORTATION PERSONNEL/PASSENGER (F),4D0,2,BATTERY W/INJURY ON TRANSPORTATION PERSONNEL/PASSENGER (F) - 4D0,1
BATTERY W/SER BODILY INJURY (F),4D0,344,BATTERY W/SER BODILY INJURY (F) - 4D0,1
BATTERY W/SERIOUS BODILY INJURY,4D0,34,BATTERY W/SERIOUS BODILY INJURY - 4D0,1
BATTERY WITH SERIOUS BODILY INJURY (F),4D0,18,BATTERY WITH SERIOUS BODILY INJURY (F) - 4D0,1
BATTERY WITH SERIOUS BODILY INJURY (PUNISHMENT),4D0,2,BATTERY WITH SERIOUS BODILY INJURY (PUNISHMENT) - 4D0,1
BATTERY: SPOUSE/EX SPOUSE/DATE/ETC,4D0,6,BATTERY: SPOUSE/EX SPOUSE/DATE/ETC - 4D0,1
CAUSE GREAT BODILY HARM/DEATH OF ELDER/DEPENDENT ADULT,4D0,3,CAUSE GREAT BODILY HARM/DEATH OF ELDER/DEPENDENT ADULT - 4D0,1
CAUSE HARM/DEATH OF ELDER /DEPENDENT ADULT (F),4D0,70,CAUSE HARM/DEATH OF ELDER /DEPENDENT ADULT (F) - 4D0,1
INFLICT CORPORAL INJURY ON SPOUSE/COHAB/GRLFRND W/PRIORS (F),4D0,31,INFLICT CORPORAL INJURY ON SPOUSE/COHAB/GRLFRND W/PRIORS (F) - 4D0,1
INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,4D0,50,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT - 4D0,1
INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT WITH PRIORS,4D0,1,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT WITH PRIORS - 4D0,1
INFLICT SERIOUS INJ UPON A CHILD (F),4D0,3,INFLICT SERIOUS INJ UPON A CHILD (F) - 4D0,1
LEWD OR LASCIVIOUS ACTS W/CHILD UNDER 14 YEARS (F),4D0,7,LEWD OR LASCIVIOUS ACTS W/CHILD UNDER 14 YEARS (F) - 4D0,1
MAYHEM,4D0,2,MAYHEM - 4D0,1
MAYHEM (F),4D0,5,MAYHEM (F) - 4D0,1
OBSTRUCT/RESIST EXECUTIVE OFFICER,4D0,5,OBSTRUCT/RESIST EXECUTIVE OFFICER - 4D0,1
OBSTRUCT/RESIST EXECUTIVE OFFICER WITH SERIOUS INJURY (F),4D0,9,OBSTRUCT/RESIST EXECUTIVE OFFICER WITH SERIOUS INJURY (F) - 4D0,1
REMOVE/ETC WEAPON FROM PEACE OFFICER/ETC:NOT FIREARM (F),4D0,1,REMOVE/ETC WEAPON FROM PEACE OFFICER/ETC:NOT FIREARM (F) - 4D0,1
RESIST PEACE OFCR RSLT IN DEATH/INJ (F),4D0,5,RESIST PEACE OFCR RSLT IN DEATH/INJ (F) - 4D0,1
RESISTS PEACE OFFICER CAUSE DEATH/SBI,4D0,1,RESISTS PEACE OFFICER CAUSE DEATH/SBI - 4D0,1
SPOUSAL/COHABITANT ABUSE WITH SERIOUS INJURY (F),4D0,393,SPOUSAL/COHABITANT ABUSE WITH SERIOUS INJURY (F) - 4D0,1
THREATEN CRIME WITH INTENT TO TERRORIZE,4D0,2,THREATEN CRIME WITH INTENT TO TERRORIZE - 4D0,1
TORTURE (F),4D0,2,TORTURE (F) - 4D0,1
VIOLATE CIVIL RIGHTS:CAUSE VIOLENT INJ (FELONY) (F),4D0,2,VIOLATE CIVIL RIGHTS:CAUSE VIOLENT INJ (FELONY) (F) - 4D0,1
WILLFUL CRUELTY TO CHILD: WITH INJURY/DEATH (F),4D0,26,WILLFUL CRUELTY TO CHILD: WITH INJURY/DEATH (F) - 4D0,1
WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH,4D0,3,WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH - 4D0,1
BURGLARY (COMMERCIAL) (F),5A1,14,BURGLARY (COMMERCIAL) (F) - 5A1,1
BURGLARY (RESIDENTIAL) (F),5A1,395,BURGLARY (RESIDENTIAL) (F) - 5A1,1
BURGLARY:UNSPECIFIED,5A1,1,BURGLARY:UNSPECIFIED - 5A1,1
BURGLARY/FIRST DEGREE,5A1,9,BURGLARY/FIRST DEGREE - 5A1,1
BURGLARY/SECOND DEGREE,5A1,3,BURGLARY/SECOND DEGREE - 5A1,1
BURGLARY/UNSPECIFIED,5A1,43,BURGLARY/UNSPECIFIED - 5A1,1
BURGLARY (COMMERCIAL) (F),5A2,13,BURGLARY (COMMERCIAL) (F) - 5A2,1
BURGLARY (RESIDENTIAL) (F),5A2,407,BURGLARY (RESIDENTIAL) (F) - 5A2,1
BURGLARY DURING STATE OF EMERGENCY - LOOTING (F),5A2,1,BURGLARY DURING STATE OF EMERGENCY - LOOTING (F) - 5A2,1
BURGLARY:UNSPECIFIED,5A2,1,BURGLARY:UNSPECIFIED - 5A2,1
BURGLARY/FIRST DEGREE,5A2,8,BURGLARY/FIRST DEGREE - 5A2,1
BURGLARY/SECOND DEGREE,5A2,6,BURGLARY/SECOND DEGREE - 5A2,1
BURGLARY/UNSPECIFIED,5A2,44,BURGLARY/UNSPECIFIED - 5A2,1
BURGLARY (COMMERCIAL) (F),5A3,17,BURGLARY (COMMERCIAL) (F) - 5A3,1
BURGLARY (RESIDENTIAL) (F),5A3,650,BURGLARY (RESIDENTIAL) (F) - 5A3,1
BURGLARY:UNSPECIFIED,5A3,5,BURGLARY:UNSPECIFIED - 5A3,1
BURGLARY/FIRST DEGREE,5A3,12,BURGLARY/FIRST DEGREE - 5A3,1
BURGLARY/SECOND DEGREE,5A3,7,BURGLARY/SECOND DEGREE - 5A3,1
BURGLARY/UNSPECIFIED,5A3,95,BURGLARY/UNSPECIFIED - 5A3,1
BURGLARY (COMMERCIAL) (F),5A4,1141,BURGLARY (COMMERCIAL) (F) - 5A4,1
BURGLARY (RESIDENTIAL) (F),5A4,56,BURGLARY (RESIDENTIAL) (F) - 5A4,1
BURGLARY DURING STATE OF EMERGENCY - LOOTING (F),5A4,8,BURGLARY DURING STATE OF EMERGENCY - LOOTING (F) - 5A4,1
BURGLARY:UNSPECIFIED,5A4,2,BURGLARY:UNSPECIFIED - 5A4,1
BURGLARY/FIRST DEGREE,5A4,3,BURGLARY/FIRST DEGREE - 5A4,1
BURGLARY/SECOND DEGREE,5A4,19,BURGLARY/SECOND DEGREE - 5A4,1
BURGLARY/UNSPECIFIED,5A4,65,BURGLARY/UNSPECIFIED - 5A4,1
BURGLARY (COMMERCIAL) (F),5A5,363,BURGLARY (COMMERCIAL) (F) - 5A5,1
BURGLARY (RESIDENTIAL) (F),5A5,40,BURGLARY (RESIDENTIAL) (F) - 5A5,1
BURGLARY DURING STATE OF EMERGENCY - LOOTING (F),5A5,1,BURGLARY DURING STATE OF EMERGENCY - LOOTING (F) - 5A5,1
BURGLARY/FIRST DEGREE,5A5,1,BURGLARY/FIRST DEGREE - 5A5,1
BURGLARY/SECOND DEGREE,5A5,1,BURGLARY/SECOND DEGREE - 5A5,1
BURGLARY/UNSPECIFIED,5A5,21,BURGLARY/UNSPECIFIED - 5A5,1
BURGLARY (COMMERCIAL) (F),5A6,773,BURGLARY (COMMERCIAL) (F) - 5A6,1
BURGLARY (RESIDENTIAL) (F),5A6,146,BURGLARY (RESIDENTIAL) (F) - 5A6,1
BURGLARY DURING STATE OF EMERGENCY - LOOTING (F),5A6,4,BURGLARY DURING STATE OF EMERGENCY - LOOTING (F) - 5A6,1
BURGLARY:UNSPECIFIED,5A6,2,BURGLARY:UNSPECIFIED - 5A6,1
BURGLARY/ SECOND DEGREE,5A6,1,BURGLARY/ SECOND DEGREE - 5A6,1
BURGLARY/FIRST DEGREE,5A6,2,BURGLARY/FIRST DEGREE - 5A6,1
BURGLARY/SECOND DEGREE,5A6,9,BURGLARY/SECOND DEGREE - 5A6,1
BURGLARY/UNSPECIFIED,5A6,66,BURGLARY/UNSPECIFIED - 5A6,1
BURGLARY (COMMERCIAL) (F),5B1,9,BURGLARY (COMMERCIAL) (F) - 5B1,1
BURGLARY (RESIDENTIAL) (F),5B1,518,BURGLARY (RESIDENTIAL) (F) - 5B1,1
BURGLARY:UNSPECIFIED,5B1,1,BURGLARY:UNSPECIFIED - 5B1,1
BURGLARY/FIRST DEGREE,5B1,14,BURGLARY/FIRST DEGREE - 5B1,1
BURGLARY/SECOND DEGREE,5B1,3,BURGLARY/SECOND DEGREE - 5B1,1
BURGLARY/UNSPECIFIED,5B1,82,BURGLARY/UNSPECIFIED - 5B1,1
BURGLARY (COMMERCIAL) (F),5B2,12,BURGLARY (COMMERCIAL) (F) - 5B2,1
BURGLARY (RESIDENTIAL) (F),5B2,550,BURGLARY (RESIDENTIAL) (F) - 5B2,1
BURGLARY DURING STATE OF EMERGENCY - LOOTING (F),5B2,1,BURGLARY DURING STATE OF EMERGENCY - LOOTING (F) - 5B2,1
BURGLARY:UNSPECIFIED,5B2,5,BURGLARY:UNSPECIFIED - 5B2,1
BURGLARY/FIRST DEGREE,5B2,23,BURGLARY/FIRST DEGREE - 5B2,1
BURGLARY/SECOND DEGREE,5B2,2,BURGLARY/SECOND DEGREE - 5B2,1
BURGLARY/UNSPECIFIED,5B2,93,BURGLARY/UNSPECIFIED - 5B2,1
BURGLARY (COMMERCIAL) (F),5B3,14,BURGLARY (COMMERCIAL) (F) - 5B3,1
BURGLARY (RESIDENTIAL) (F),5B3,747,BURGLARY (RESIDENTIAL) (F) - 5B3,1
BURGLARY DURING STATE OF EMERGENCY - LOOTING (F),5B3,1,BURGLARY DURING STATE OF EMERGENCY - LOOTING (F) - 5B3,1
BURGLARY:UNSPECIFIED,5B3,2,BURGLARY:UNSPECIFIED - 5B3,1
BURGLARY/FIRST DEGREE,5B3,22,BURGLARY/FIRST DEGREE - 5B3,1
BURGLARY/SECOND DEGREE,5B3,8,BURGLARY/SECOND DEGREE - 5B3,1
BURGLARY/UNSPECIFIED,5B3,218,BURGLARY/UNSPECIFIED - 5B3,1
BURGLARY (COMMERCIAL) (F),5B4,332,BURGLARY (COMMERCIAL) (F) - 5B4,1
BURGLARY (RESIDENTIAL) (F),5B4,65,BURGLARY (RESIDENTIAL) (F) - 5B4,1
BURGLARY DURING STATE OF EMERGENCY - LOOTING (F),5B4,4,BURGLARY DURING STATE OF EMERGENCY - LOOTING (F) - 5B4,1
BURGLARY:UNSPECIFIED,5B4,3,BURGLARY:UNSPECIFIED - 5B4,1
BURGLARY/FIRST DEGREE,5B4,5,BURGLARY/FIRST DEGREE - 5B4,1
BURGLARY/SECOND DEGREE,5B4,5,BURGLARY/SECOND DEGREE - 5B4,1
BURGLARY/UNSPECIFIED,5B4,65,BURGLARY/UNSPECIFIED - 5B4,1
BURGLARY (COMMERCIAL) (F),5B5,181,BURGLARY (COMMERCIAL) (F) - 5B5,1
BURGLARY (RESIDENTIAL) (F),5B5,61,BURGLARY (RESIDENTIAL) (F) - 5B5,1
BURGLARY:UNSPECIFIED,5B5,3,BURGLARY:UNSPECIFIED - 5B5,1
BURGLARY/ SECOND DEGREE,5B5,2,BURGLARY/ SECOND DEGREE - 5B5,1
BURGLARY/SECOND DEGREE,5B5,6,BURGLARY/SECOND DEGREE - 5B5,1
BURGLARY/UNSPECIFIED,5B5,46,BURGLARY/UNSPECIFIED - 5B5,1
BURGLARY (COMMERCIAL) (F),5B6,275,BURGLARY (COMMERCIAL) (F) - 5B6,1
BURGLARY (RESIDENTIAL) (F),5B6,101,BURGLARY (RESIDENTIAL) (F) - 5B6,1
BURGLARY DURING STATE OF EMERGENCY - LOOTING (F),5B6,1,BURGLARY DURING STATE OF EMERGENCY - LOOTING (F) - 5B6,1
BURGLARY:UNSPECIFIED,5B6,5,BURGLARY:UNSPECIFIED - 5B6,1
BURGLARY/ SECOND DEGREE,5B6,1,BURGLARY/ SECOND DEGREE - 5B6,1
BURGLARY/SECOND DEGREE,5B6,8,BURGLARY/SECOND DEGREE - 5B6,1
BURGLARY/UNSPECIFIED,5B6,129,BURGLARY/UNSPECIFIED - 5B6,1
"ATTEMPTED BURGLARY,FIRST DEGREE",5C1,1,"ATTEMPTED BURGLARY,FIRST DEGREE - 5C1",1
ATTEMPTED BURGLARY:DEGREE UNSPECIFIED,5C1,14,ATTEMPTED BURGLARY:DEGREE UNSPECIFIED - 5C1,1
BURGLARY (RESIDENTIAL) (F),5C1,60,BURGLARY (RESIDENTIAL) (F) - 5C1,1
BURGLARY (SHOPLIFTING) (F),5C1,1,BURGLARY (SHOPLIFTING) (F) - 5C1,1
BURGLARY:UNSPECIFIED,5C1,1,BURGLARY:UNSPECIFIED - 5C1,1
BURGLARY/FIRST DEGREE,5C1,1,BURGLARY/FIRST DEGREE - 5C1,1
BURGLARY/SECOND DEGREE,5C1,1,BURGLARY/SECOND DEGREE - 5C1,1
BURGLARY/UNSPECIFIED,5C1,6,BURGLARY/UNSPECIFIED - 5C1,1
ATTEMPT BURGLARY,5C2,1,ATTEMPT BURGLARY - 5C2,1
"ATTEMPTED BURGLARY,FIRST DEGREE",5C2,1,"ATTEMPTED BURGLARY,FIRST DEGREE - 5C2",1
ATTEMPTED BURGLARY:DEGREE UNSPECIFIED,5C2,9,ATTEMPTED BURGLARY:DEGREE UNSPECIFIED - 5C2,1
BURGLARY (COMMERCIAL) (F),5C2,2,BURGLARY (COMMERCIAL) (F) - 5C2,1
BURGLARY (RESIDENTIAL) (F),5C2,50,BURGLARY (RESIDENTIAL) (F) - 5C2,1
BURGLARY:UNSPECIFIED,5C2,1,BURGLARY:UNSPECIFIED - 5C2,1
BURGLARY/FIRST DEGREE,5C2,3,BURGLARY/FIRST DEGREE - 5C2,1
BURGLARY/SECOND DEGREE,5C2,1,BURGLARY/SECOND DEGREE - 5C2,1
BURGLARY/UNSPECIFIED,5C2,5,BURGLARY/UNSPECIFIED - 5C2,1
ATTEMPT BURGLARY,5C3,1,ATTEMPT BURGLARY - 5C3,1
ATTEMPTED BURGLARY:DEGREE UNSPECIFIED,5C3,11,ATTEMPTED BURGLARY:DEGREE UNSPECIFIED - 5C3,1
BURGLARY (RESIDENTIAL) (F),5C3,34,BURGLARY (RESIDENTIAL) (F) - 5C3,1
BURGLARY/FIRST DEGREE,5C3,1,BURGLARY/FIRST DEGREE - 5C3,1
BURGLARY/SECOND DEGREE,5C3,2,BURGLARY/SECOND DEGREE - 5C3,1
BURGLARY/UNSPECIFIED,5C3,22,BURGLARY/UNSPECIFIED - 5C3,1
"ATTEMPTED BURGLARY,FIRST DEGREE",5C4,1,"ATTEMPTED BURGLARY,FIRST DEGREE - 5C4",1
ATTEMPTED BURGLARY:DEGREE UNSPECIFIED,5C4,7,ATTEMPTED BURGLARY:DEGREE UNSPECIFIED - 5C4,1
BURGLARY (COMMERCIAL) (F),5C4,58,BURGLARY (COMMERCIAL) (F) - 5C4,1
BURGLARY (RESIDENTIAL) (F),5C4,3,BURGLARY (RESIDENTIAL) (F) - 5C4,1
BURGLARY (SHOPLIFTING) (F),5C4,1,BURGLARY (SHOPLIFTING) (F) - 5C4,1
BURGLARY:UNSPECIFIED,5C4,4,BURGLARY:UNSPECIFIED - 5C4,1
BURGLARY/ SECOND DEGREE,5C4,1,BURGLARY/ SECOND DEGREE - 5C4,1
BURGLARY/SECOND DEGREE,5C4,4,BURGLARY/SECOND DEGREE - 5C4,1
BURGLARY/UNSPECIFIED,5C4,19,BURGLARY/UNSPECIFIED - 5C4,1
"ATTEMPTED BURGLARY,SECOND DEGREE",5C5,1,"ATTEMPTED BURGLARY,SECOND DEGREE - 5C5",1
ATTEMPTED BURGLARY:DEGREE UNSPECIFIED,5C5,2,ATTEMPTED BURGLARY:DEGREE UNSPECIFIED - 5C5,1
BURGLARY (COMMERCIAL) (F),5C5,16,BURGLARY (COMMERCIAL) (F) - 5C5,1
BURGLARY (RESIDENTIAL) (F),5C5,2,BURGLARY (RESIDENTIAL) (F) - 5C5,1
BURGLARY (SHOPLIFTING) (F),5C5,1,BURGLARY (SHOPLIFTING) (F) - 5C5,1
BURGLARY (SHOPLIFTING) (M),5C5,1,BURGLARY (SHOPLIFTING) (M) - 5C5,1
BURGLARY/SECOND DEGREE,5C5,2,BURGLARY/SECOND DEGREE - 5C5,1
BURGLARY/UNSPECIFIED,5C5,20,BURGLARY/UNSPECIFIED - 5C5,1
ATTEMPT BURGLARY,5C6,2,ATTEMPT BURGLARY - 5C6,1
ATTEMPTED BURGLARY:DEGREE UNSPECIFIED,5C6,5,ATTEMPTED BURGLARY:DEGREE UNSPECIFIED - 5C6,1
ATTEMPTED GRAND THEFT,5C6,1,ATTEMPTED GRAND THEFT - 5C6,1
BURGLARY (COMMERCIAL) (F),5C6,15,BURGLARY (COMMERCIAL) (F) - 5C6,1
BURGLARY (RESIDENTIAL) (F),5C6,3,BURGLARY (RESIDENTIAL) (F) - 5C6,1
BURGLARY:UNSPECIFIED,5C6,1,BURGLARY:UNSPECIFIED - 5C6,1
BURGLARY/UNSPECIFIED,5C6,27,BURGLARY/UNSPECIFIED - 5C6,1
GRAND THEFT FROM PERS (Pocket-Picking) (F),6AA,33,GRAND THEFT FROM PERS (Pocket-Picking) (F) - 6AA,1
GRAND THEFT/UNSPECIFIED,6AA,1,GRAND THEFT/UNSPECIFIED - 6AA,1
PETTY THEFT,6AA,2,PETTY THEFT - 6AA,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6AA,1,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6AA,1
GRAND THEFT (Theft From Mot Veh) (F),6AB,1,GRAND THEFT (Theft From Mot Veh) (F) - 6AB,1
GRAND THEFT FROM PERS (Purse-Snatching) (F),6AB,40,GRAND THEFT FROM PERS (Purse-Snatching) (F) - 6AB,1
GRAND THEFT:MONEY/LABOR/PROPERTY (F),6AB,2,GRAND THEFT:MONEY/LABOR/PROPERTY (F) - 6AB,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950,6AB,2,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950 - 6AB,1
PETTY THEFT,6AB,3,PETTY THEFT - 6AB,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6AB,1,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6AB,1
PETTY THEFT(All Other Larceny) (M),6AB,2,PETTY THEFT(All Other Larceny) (M) - 6AB,1
PETTY THEFT(Purse Snatch) (M),6AB,26,PETTY THEFT(Purse Snatch) (M) - 6AB,1
ATTEMPTED GRAND THEFT,6AC,1,ATTEMPTED GRAND THEFT - 6AC,1
ATTEMPTED PETTY THEFT,6AC,1,ATTEMPTED PETTY THEFT - 6AC,1
BURGLARY (COMMERCIAL) (F),6AC,6,BURGLARY (COMMERCIAL) (F) - 6AC,1
BURGLARY (RESIDENTIAL) (F),6AC,1,BURGLARY (RESIDENTIAL) (F) - 6AC,1
BURGLARY (SHOPLIFTING) (F),6AC,75,BURGLARY (SHOPLIFTING) (F) - 6AC,1
BURGLARY (SHOPLIFTING) (M),6AC,42,BURGLARY (SHOPLIFTING) (M) - 6AC,1
BURGLARY/SECOND DEGREE,6AC,1,BURGLARY/SECOND DEGREE - 6AC,1
BURGLARY/UNSPECIFIED,6AC,5,BURGLARY/UNSPECIFIED - 6AC,1
GRAND THEFT (Shoplifting) (F),6AC,325,GRAND THEFT (Shoplifting) (F) - 6AC,1
GRAND THEFT (Theft From Building) (F),6AC,4,GRAND THEFT (Theft From Building) (F) - 6AC,1
GRAND THEFT:MONEY/LABOR/PROPERTY (F),6AC,27,GRAND THEFT:MONEY/LABOR/PROPERTY (F) - 6AC,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950,6AC,48,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950 - 6AC,1
GRAND THEFT/UNSPECIFIED,6AC,25,GRAND THEFT/UNSPECIFIED - 6AC,1
PETTY THEFT,6AC,54,PETTY THEFT - 6AC,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6AC,14,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6AC,1
PETTY THEFT(All Other Larceny) (M),6AC,2,PETTY THEFT(All Other Larceny) (M) - 6AC,1
PETTY THEFT(from Building) (M),6AC,7,PETTY THEFT(from Building) (M) - 6AC,1
PETTY THEFT(Shoplift) (M),6AC,330,PETTY THEFT(Shoplift) (M) - 6AC,1
SHOPLIFTING (M),6AC,58,SHOPLIFTING (M) - 6AC,1
THEFT,6AC,7,THEFT - 6AC,1
THEFT (M),6AC,2,THEFT (M) - 6AC,1
ATTEMPTED BURGLARY:DEGREE UNSPECIFIED,6AD,1,ATTEMPTED BURGLARY:DEGREE UNSPECIFIED - 6AD,1
ATTEMPTED GRAND THEFT,6AD,1,ATTEMPTED GRAND THEFT - 6AD,1
BURGLARY (RESIDENTIAL) (F),6AD,4,BURGLARY (RESIDENTIAL) (F) - 6AD,1
BURGLARY (SHOPLIFTING) (M),6AD,1,BURGLARY (SHOPLIFTING) (M) - 6AD,1
BURGLARY (VEHICLE) (F),6AD,5346,BURGLARY (VEHICLE) (F) - 6AD,1
BURGLARY DURING STATE OF EMERGENCY - LOOTING (F),6AD,3,BURGLARY DURING STATE OF EMERGENCY - LOOTING (F) - 6AD,1
BURGLARY/ SECOND DEGREE,6AD,2,BURGLARY/ SECOND DEGREE - 6AD,1
BURGLARY/FIRST DEGREE,6AD,5,BURGLARY/FIRST DEGREE - 6AD,1
BURGLARY/SECOND DEGREE,6AD,22,BURGLARY/SECOND DEGREE - 6AD,1
BURGLARY/UNSPECIFIED,6AD,1146,BURGLARY/UNSPECIFIED - 6AD,1
GRAND THEFT : FRUIT/FOWL/ETC (OVER $950) (F),6AD,1,GRAND THEFT : FRUIT/FOWL/ETC (OVER $950) (F) - 6AD,1
GRAND THEFT (Theft From Mot Veh) (F),6AD,1221,GRAND THEFT (Theft From Mot Veh) (F) - 6AD,1
"GRAND THEFT FIREARM, ANIMAL, ETC.",6AD,4,"GRAND THEFT FIREARM, ANIMAL, ETC. - 6AD",1
GRAND THEFT:FIREARM/ANIMAL (Theft From Building) (F),6AD,1,GRAND THEFT:FIREARM/ANIMAL (Theft From Building) (F) - 6AD,1
GRAND THEFT:FIREARM/ANIMAL (Theft From Mot Veh) (F),6AD,21,GRAND THEFT:FIREARM/ANIMAL (Theft From Mot Veh) (F) - 6AD,1
GRAND THEFT:MONEY/LABOR/PROPERTY (F),6AD,21,GRAND THEFT:MONEY/LABOR/PROPERTY (F) - 6AD,1
GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950,6AD,184,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950 - 6AD,1
GRAND THEFT/UNSPECIFIED,6AD,82,GRAND THEFT/UNSPECIFIED - 6AD,1
PETTY THEFT,6AD,91,PETTY THEFT - 6AD,1
PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT,6AD,102,PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT - 6AD,1
PETTY THEFT(from Building) (M),6AD,2,PETTY THEFT(from Building) (M) - 6AD,1
PETTY THEFT(from Veh) (M),6AD,778,PETTY THEFT(from Veh) (M) - 6AD,1
TAMPER WITH AUTO,6AD,15,TAMPER WITH AUTO - 6AD,1
THEFT,6AD,26,THEFT - 6AD,1
THEFT (M),6AD,10,THEFT (M) - 6AD,1
BURGLARY (RESIDENTIAL) (F),6AE,1,BURGLARY (RESIDENTIAL) (F) - 6AE,1
BURGLARY (VEHICLE) (F),6AE,276,BURGLARY (VEHICLE) (F) - 6AE,1
